"Hugo_Symbol","M1","M2","pval","or","ci.up","ci.low","adjPval"
"MYH3",30,5,0.00198928008205277,3.96757971317901,13.3561765270621,1.48440605101173,0.118012305394224
"ADGRV1",118,47,0.00199525858724083,1.89857285749605,2.92697394727914,1.24324106334185,0.118012305394224
"CDH16",25,3,0.00202170801992011,5.46779232327144,28.6952179537884,1.63099193219633,0.118012305394224
"OR51G2",25,3,0.00202170801992011,5.46779232327144,28.6952179537884,1.63099193219633,0.118012305394224
"ATP8A1",28,4,0.0020459255730491,4.61947200618053,18.431799485284,1.57660804293981,0.118012305394224
"SIPA1L3",28,4,0.0020459255730491,4.61947200618053,18.431799485284,1.57660804293981,0.118012305394224
"ADD2",27,4,0.00208695445328733,4.43783218186569,17.7670758725137,1.50872419222819,0.118012305394224
"DMGDH",27,4,0.00208695445328733,4.43783218186569,17.7670758725137,1.50872419222819,0.118012305394224
"GIMAP4",27,4,0.00208695445328733,4.43783218186569,17.7670758725137,1.50872419222819,0.118012305394224
"LRRN1",27,4,0.00208695445328733,4.43783218186569,17.7670758725137,1.50872419222819,0.118012305394224
"NOS3",27,4,0.00208695445328733,4.43783218186569,17.7670758725137,1.50872419222819,0.118012305394224
"PLCXD3",27,4,0.00208695445328733,4.43783218186569,17.7670758725137,1.50872419222819,0.118012305394224
